Levels,CycleIteration,ResidualNorm
2,0,1.2731790e+03
2,1,1.1123151e+01
2,2,1.6775963e-02
2,3,9.2094250e-04
2,4,8.0285753e-05
2,5,5.5605166e-05
2,6,5.4203719e-05
2,7,5.3333296e-05
2,8,5.2610144e-05
2,9,5.1961725e-05
2,10,5.1357475e-05
2,11,5.0782180e-05
2,12,5.0227436e-05
2,13,4.9688286e-05
2,14,4.9161597e-05
2,15,4.8645320e-05
2,16,4.8138035e-05
2,17,4.7638759e-05
2,18,4.7146753e-05
2,19,4.6661468e-05
2,20,4.6182478e-05
2,21,4.5709459e-05
2,22,4.5242140e-05
2,23,4.4780305e-05
2,24,4.4323763e-05
2,25,4.3872366e-05
2,26,4.3425973e-05
2,27,4.2984480e-05
2,28,4.2547769e-05
2,29,4.2115750e-05
2,30,4.1688337e-05
2,31,4.1265454e-05
2,32,4.0847026e-05
2,33,4.0432986e-05
2,34,4.0023271e-05
2,35,3.9617817e-05
2,36,3.9216567e-05
2,37,3.8819469e-05
2,38,3.8426476e-05
2,39,3.8037516e-05
2,40,3.7652565e-05
2,41,3.7271558e-05
2,42,3.6894461e-05
2,43,3.6521219e-05
2,44,3.6151798e-05
2,45,3.5786148e-05
2,46,3.5424227e-05
2,47,3.5065988e-05
2,48,3.4711405e-05
2,49,3.4360431e-05
2,50,3.4013022e-05
2,51,3.3669147e-05
2,52,3.3328768e-05
2,53,3.2991844e-05
2,54,3.2658345e-05
2,55,3.2328227e-05
2,56,3.2001448e-05
2,57,3.1677999e-05
2,58,3.1357816e-05
2,59,3.1040875e-05
2,60,3.0727165e-05
2,61,3.0416623e-05
2,62,3.0109219e-05
2,63,2.9804938e-05
2,64,2.9503740e-05
2,65,2.9205575e-05
2,66,2.8910441e-05
2,67,2.8618289e-05
2,68,2.8329090e-05
2,69,2.8042826e-05
2,70,2.7759456e-05
2,71,2.7478947e-05
2,72,2.7201281e-05
2,73,2.6926422e-05
2,74,2.6654341e-05
2,75,2.6385013e-05
2,76,2.6118400e-05
2,77,2.5854498e-05
2,78,2.5593247e-05
2,79,2.5334650e-05
2,80,2.5078664e-05
2,81,2.4825263e-05
2,82,2.4574424e-05
2,83,2.4326121e-05
2,84,2.4080329e-05
2,85,2.3837028e-05
2,86,2.3596169e-05
2,87,2.3357762e-05
2,88,2.3121763e-05
2,89,2.2888137e-05
2,90,2.2656880e-05
2,91,2.2427956e-05
2,92,2.2201345e-05
2,93,2.1977034e-05
2,94,2.1754977e-05
2,95,2.1535171e-05
2,96,2.1317583e-05
2,97,2.1102192e-05
2,98,2.0888982e-05
2,99,2.0677923e-05
2,100,2.0469003e-05
2,101,2.0262190e-05
2,102,2.0057464e-05
2,103,1.9854814e-05
2,104,1.9654197e-05
2,105,1.9455624e-05
2,106,1.9259043e-05
2,107,1.9064460e-05
2,108,1.8871828e-05
2,109,1.8681162e-05
2,110,1.8492416e-05
2,111,1.8305568e-05
2,112,1.8120615e-05
2,113,1.7937531e-05
2,114,1.7756294e-05
2,115,1.7576889e-05
2,116,1.7399300e-05
2,117,1.7223492e-05
2,118,1.7049480e-05
2,119,1.6877222e-05
2,120,1.6706690e-05
2,121,1.6537891e-05
2,122,1.6370796e-05
2,123,1.6205393e-05
2,124,1.6041652e-05
2,125,1.5879576e-05
2,126,1.5719130e-05
2,127,1.5560307e-05
2,128,1.5403092e-05
2,129,1.5247460e-05
2,130,1.5093408e-05
2,131,1.4940905e-05
2,132,1.4789938e-05
2,133,1.4640500e-05
2,134,1.4492585e-05
2,135,1.4346151e-05
2,136,1.4201203e-05
2,137,1.4057710e-05
2,138,1.3915685e-05
2,139,1.3775069e-05
2,140,1.3635894e-05
2,141,1.3498123e-05
2,142,1.3361740e-05
2,143,1.3226731e-05
2,144,1.3093086e-05
2,145,1.2960796e-05
2,146,1.2829843e-05
2,147,1.2700213e-05
2,148,1.2571886e-05
2,149,1.2444868e-05
2,150,1.2319121e-05
2,151,1.2194655e-05
2,152,1.2071439e-05
2,153,1.1949472e-05
2,154,1.1828733e-05
2,155,1.1709218e-05
2,156,1.1590907e-05
2,157,1.1473788e-05
2,158,1.1357861e-05
2,159,1.1243097e-05
2,160,1.1129498e-05
2,161,1.1017048e-05
2,162,1.0905731e-05
2,163,1.0795536e-05
2,164,1.0686462e-05
2,165,1.0578485e-05
2,166,1.0471601e-05
2,167,1.0365792e-05
2,168,1.0261058e-05
2,169,1.0157384e-05
2,170,1.0054749e-05
2,171,9.9531515e-06
2,172,9.8525882e-06
2,173,9.7530379e-06
2,174,9.6544880e-06
2,175,9.5569456e-06
2,176,9.4603783e-06
2,177,9.3647866e-06
2,178,9.2701635e-06
2,179,9.1764981e-06
2,180,9.0837784e-06
2,181,8.9919982e-06
2,182,8.9011383e-06
2,183,8.8111983e-06
2,184,8.7221717e-06
2,185,8.6340398e-06
2,186,8.5468000e-06
2,187,8.4604418e-06
2,188,8.3749603e-06
2,189,8.2903383e-06
2,190,8.2065711e-06
2,191,8.1236537e-06
2,192,8.0415696e-06
2,193,7.9603167e-06
2,194,7.8798812e-06
2,195,7.8002633e-06
2,196,7.7214417e-06
2,197,7.6434273e-06
2,198,7.5661983e-06
2,199,7.4897431e-06
2,200,7.4140691e-06
2,201,7.3391542e-06
2,202,7.2649962e-06
2,203,7.1915894e-06
2,204,7.1189196e-06
2,205,7.0469904e-06
2,206,6.9757860e-06
2,207,6.9053040e-06
2,208,6.8355308e-06
2,209,6.7664620e-06
2,210,6.6980932e-06
2,211,6.6304111e-06
2,212,6.5634162e-06
2,213,6.4970987e-06
2,214,6.4314514e-06
2,215,6.3664619e-06
2,216,6.3021316e-06
2,217,6.2384607e-06
2,218,6.1754250e-06
2,219,6.1130187e-06
2,220,6.0512525e-06
2,221,5.9901097e-06
2,222,5.9295844e-06
2,223,5.8696703e-06
2,224,5.8103656e-06
2,225,5.7516537e-06
2,226,5.6935380e-06
2,227,5.6360127e-06
2,228,5.5790583e-06
2,229,5.5226884e-06
2,230,5.4668845e-06
2,231,5.4116435e-06
2,232,5.3569674e-06
2,233,5.3028329e-06
2,234,5.2492540e-06
2,235,5.1962079e-06
2,236,5.1437064e-06
2,237,5.0917374e-06
2,238,5.0402835e-06
2,239,4.9893511e-06
2,240,4.9389446e-06
2,241,4.8890389e-06
2,242,4.8396303e-06
2,243,4.7907338e-06
2,244,4.7423330e-06
2,245,4.6944079e-06
2,246,4.6469741e-06
2,247,4.6000155e-06
2,248,4.5535461e-06
2,249,4.5075296e-06
2,250,4.4619791e-06
2,251,4.4169012e-06
2,252,4.3722719e-06
2,253,4.3280886e-06
2,254,4.2843586e-06
2,255,4.2410661e-06
2,256,4.1982038e-06
2,257,4.1557931e-06
2,258,4.1138016e-06
2,259,4.0722338e-06
2,260,4.0310833e-06
2,261,3.9903489e-06
2,262,3.9500284e-06
2,263,3.9101229e-06
2,264,3.8706106e-06
2,265,3.8315016e-06
2,266,3.7927804e-06
2,267,3.7544602e-06
2,268,3.7165255e-06
2,269,3.6789649e-06
2,270,3.6417953e-06
2,271,3.6049987e-06
2,272,3.5685731e-06
2,273,3.5325192e-06
2,274,3.4968117e-06
2,275,3.4614894e-06
2,276,3.4265119e-06
2,277,3.3918921e-06
2,278,3.3576199e-06
2,279,3.3236818e-06
2,280,3.2901030e-06
2,281,3.2568582e-06
2,282,3.2239606e-06
2,283,3.1913730e-06
2,284,3.1591302e-06
2,285,3.1272051e-06
2,286,3.0956016e-06
2,287,3.0643283e-06
2,288,3.0333613e-06
2,289,3.0027185e-06
2,290,2.9723714e-06
2,291,2.9423436e-06
2,292,2.9126038e-06
2,293,2.8831746e-06
2,294,2.8540412e-06
2,295,2.8252051e-06
2,296,2.7966560e-06
2,297,2.7684001e-06
2,298,2.7404218e-06
2,299,2.7127383e-06
2,300,2.6853210e-06
2,301,2.6581940e-06
2,302,2.6313296e-06
2,303,2.6047438e-06
2,304,2.5784279e-06
2,305,2.5523681e-06
2,306,2.5265774e-06
2,307,2.5010531e-06
2,308,2.4757827e-06
2,309,2.4507645e-06
2,310,2.4260003e-06
2,311,2.4014839e-06
2,312,2.3772226e-06
2,313,2.3531975e-06
2,314,2.3294245e-06
2,315,2.3058812e-06
2,316,2.2825780e-06
2,317,2.2595143e-06
2,318,2.2366792e-06
2,319,2.2140814e-06
2,320,2.1917149e-06
2,321,2.1695619e-06
2,322,2.1476352e-06
2,323,2.1259430e-06
2,324,2.1044662e-06
2,325,2.0832003e-06
2,326,2.0621501e-06
2,327,2.0413110e-06
2,328,2.0206786e-06
2,329,2.0002678e-06
2,330,1.9800485e-06
2,331,1.9600461e-06
2,332,1.9402427e-06
2,333,1.9206378e-06
2,334,1.9012282e-06
2,335,1.8820191e-06
2,336,1.8630012e-06
2,337,1.8441776e-06
2,338,1.8255528e-06
2,339,1.8070948e-06
2,340,1.7888335e-06
2,341,1.7707568e-06
2,342,1.7528653e-06
2,343,1.7351578e-06
2,344,1.7176250e-06
2,345,1.7002712e-06
2,346,1.6830890e-06
2,347,1.6660784e-06
2,348,1.6492432e-06
2,349,1.6325803e-06
2,350,1.6160855e-06
2,351,1.5997578e-06
2,352,1.5835838e-06
2,353,1.5675920e-06
2,354,1.5517477e-06
2,355,1.5360627e-06
2,356,1.5205434e-06
2,357,1.5051861e-06
2,358,1.4899746e-06
2,359,1.4749218e-06
2,360,1.4600191e-06
2,361,1.4452628e-06
2,362,1.4306495e-06
2,363,1.4161974e-06
2,364,1.4018960e-06
2,365,1.3877247e-06
2,366,1.3737071e-06
2,367,1.3598252e-06
2,368,1.3460704e-06
2,369,1.3324821e-06
2,370,1.3190170e-06
2,371,1.3056884e-06
2,372,1.2924968e-06
2,373,1.2794378e-06
2,374,1.2665096e-06
2,375,1.2537077e-06
2,376,1.2410422e-06
2,377,1.2285074e-06
2,378,1.2160901e-06
2,379,1.2038056e-06
2,380,1.1916341e-06
2,381,1.1796018e-06
2,382,1.1676728e-06
2,383,1.1558821e-06
2,384,1.1441942e-06
2,385,1.1326370e-06
2,386,1.1211885e-06
2,387,1.1098649e-06
2,388,1.0986470e-06
2,389,1.0875450e-06
2,390,1.0765550e-06
2,391,1.0656758e-06
2,392,1.0549152e-06
2,393,1.0442523e-06
2,394,1.0336993e-06
2,395,1.0232585e-06
2,396,1.0129160e-06
2,397,1.0026820e-06
2,398,9.9254805e-07
2,399,9.8252397e-07
2,400,9.7259409e-07
2,401,9.6276006e-07
2,402,9.5303663e-07
2,403,9.4340255e-07
2,404,9.3387391e-07
2,405,9.2443499e-07
2,406,9.1509148e-07
2,407,9.0585229e-07
2,408,8.9670087e-07
2,409,8.8763470e-07
2,410,8.7866841e-07
2,411,8.6978746e-07
2,412,8.6099800e-07
2,413,8.5229707e-07
2,414,8.4367818e-07
2,415,8.3516474e-07
2,416,8.2672555e-07
2,417,8.1836673e-07
2,418,8.1010290e-07
2,419,8.0191510e-07
2,420,7.9381316e-07
2,421,7.8578973e-07
2,422,7.7784459e-07
2,423,7.6999041e-07
2,424,7.6221098e-07
2,425,7.5450671e-07
2,426,7.4688383e-07
2,427,7.3933019e-07
2,428,7.3186557e-07
2,429,7.2447314e-07
2,430,7.1715342e-07
2,431,7.0990709e-07
2,432,7.0273055e-07
2,433,6.9562534e-07
2,434,6.8859855e-07
2,435,6.8164173e-07
2,436,6.7475919e-07
2,437,6.6793411e-07
2,438,6.6118436e-07
2,439,6.5450714e-07
2,440,6.4789888e-07
2,441,6.4134982e-07
2,442,6.3486294e-07
2,443,6.2844921e-07
2,444,6.2210250e-07
2,445,6.1580903e-07
2,446,6.0958708e-07
2,447,6.0342986e-07
2,448,5.9733549e-07
2,449,5.9130438e-07
2,450,5.8532449e-07
2,451,5.7940732e-07
2,452,5.7355113e-07
2,453,5.6775973e-07
2,454,5.6201829e-07
2,455,5.5634556e-07
2,456,5.5072191e-07
2,457,5.4515189e-07
2,458,5.3964725e-07
2,459,5.3419880e-07
2,460,5.2879475e-07
2,461,5.2346080e-07
2,462,5.1816481e-07
2,463,5.1292691e-07
2,464,5.0774989e-07
2,465,5.0261084e-07
2,466,4.9753782e-07
2,467,4.9251318e-07
2,468,4.8753645e-07
2,469,4.8260808e-07
2,470,4.7773376e-07
2,471,4.7290595e-07
2,472,4.6812622e-07
2,473,4.6338745e-07
2,474,4.5871349e-07
2,475,4.5407073e-07
2,476,4.4948729e-07
2,477,4.4494537e-07
2,478,4.4045548e-07
2,479,4.3599654e-07
2,480,4.3159592e-07
2,481,4.2723352e-07
2,482,4.2291345e-07
2,483,4.1864210e-07
2,484,4.1441280e-07
2,485,4.1021376e-07
2,486,4.0607939e-07
2,487,4.0197137e-07
2,488,3.9791691e-07
2,489,3.9389150e-07
2,490,3.8991751e-07
2,491,3.8597566e-07
2,492,3.8206675e-07
2,493,3.7821592e-07
2,494,3.7439202e-07
2,495,3.7060301e-07
2,496,3.6685860e-07
2,497,3.6315562e-07
2,498,3.5948586e-07
2,499,3.5585455e-07
2,500,3.5225534e-07
2,501,3.4869636e-07
2,502,3.4517119e-07
2,503,3.4169706e-07
2,504,3.3823298e-07
2,505,3.3481203e-07
2,506,3.3143606e-07
2,507,3.2808769e-07
2,508,3.2476688e-07
2,509,3.2149375e-07
2,510,3.1823624e-07
2,511,3.1502197e-07
2,512,3.1184305e-07
2,513,3.0868700e-07
2,514,3.0557070e-07
2,515,3.0247724e-07
2,516,2.9942674e-07
2,517,2.9640361e-07
2,518,2.9340799e-07
2,519,2.9044403e-07
2,520,2.8750200e-07
2,521,2.8460248e-07
2,522,2.8172196e-07
2,523,2.7888022e-07
2,524,2.7606410e-07
2,525,2.7327337e-07
2,526,2.7051135e-07
2,527,2.6778013e-07
2,528,2.6506836e-07
2,529,2.6238906e-07
2,530,2.5974092e-07
2,531,2.5712017e-07
2,532,2.5452233e-07
2,533,2.5194657e-07
2,534,2.4940135e-07
2,535,2.4687862e-07
2,536,2.4438345e-07
2,537,2.4192160e-07
2,538,2.3946796e-07
2,539,2.3705532e-07
2,540,2.3465192e-07
2,541,2.3228700e-07
2,542,2.2993745e-07
2,543,2.2761724e-07
2,544,2.2530889e-07
2,545,2.2303702e-07
2,546,2.2078390e-07
2,547,2.1855790e-07
2,548,2.1634241e-07
2,549,2.1416918e-07
2,550,2.1200365e-07
2,551,2.0985840e-07
2,552,2.0773116e-07
2,553,2.0563526e-07
2,554,2.0355353e-07
2,555,2.0150160e-07
2,556,1.9946385e-07
2,557,1.9744987e-07
2,558,1.9545648e-07
2,559,1.9347832e-07
2,560,1.9152189e-07
2,561,1.8958359e-07
2,562,1.8767485e-07
2,563,1.8577134e-07
2,564,1.8389384e-07
2,565,1.8203731e-07
2,566,1.8020342e-07
2,567,1.7837846e-07
2,568,1.7656905e-07
2,569,1.7479597e-07
2,570,1.7302190e-07
2,571,1.7127002e-07
2,572,1.6954833e-07
2,573,1.6783212e-07
2,574,1.6613604e-07
2,575,1.6446036e-07
2,576,1.6280104e-07
2,577,1.6115482e-07
2,578,1.5952211e-07
2,579,1.5790812e-07
2,580,1.5631167e-07
2,581,1.5473827e-07
2,582,1.5317354e-07
2,583,1.5162905e-07
2,584,1.5009280e-07
2,585,1.4857665e-07
2,586,1.4707390e-07
2,587,1.4559233e-07
2,588,1.4411807e-07
2,589,1.4266459e-07
2,590,1.4121956e-07
2,591,1.3979373e-07
2,592,1.3838032e-07
2,593,1.3698334e-07
2,594,1.3560252e-07
2,595,1.3423136e-07
2,596,1.3287240e-07
2,597,1.3152893e-07
2,598,1.3020098e-07
2,599,1.2888425e-07
2,600,1.2757846e-07
2,601,1.2629688e-07
2,602,1.2501796e-07
2,603,1.2375719e-07
2,604,1.2250493e-07
2,605,1.2126994e-07
2,606,1.2003741e-07
2,607,1.1882640e-07
2,608,1.1762888e-07
2,609,1.1643701e-07
2,610,1.1525831e-07
2,611,1.1409097e-07
2,612,1.1294414e-07
2,613,1.1180764e-07
2,614,1.1067271e-07
2,615,1.0955651e-07
2,616,1.0844671e-07
2,617,1.0734945e-07
2,618,1.0626314e-07
2,619,1.0518981e-07
2,620,1.0413084e-07
2,621,1.0307827e-07
2,622,1.0203987e-07
2,623,1.0101333e-07
2,624,9.9983197e-08
3,0,4.7063840e+03
3,1,1.7133293e+02
3,2,1.3036229e+01
3,3,1.0550208e+00
3,4,8.8358483e-02
3,5,7.5367564e-03
3,6,6.4935205e-04
3,7,5.8262960e-05
3,8,1.5104456e-05
3,9,1.3406781e-05
3,10,1.2705653e-05
3,11,1.2096292e-05
3,12,1.1541929e-05
3,13,1.1028641e-05
3,14,1.0548414e-05
3,15,1.0096116e-05
3,16,9.6681985e-06
3,17,9.2620704e-06
3,18,8.8757195e-06
3,19,8.5075623e-06
3,20,8.1562876e-06
3,21,7.8207782e-06
3,22,7.5000641e-06
3,23,7.1933038e-06
3,24,6.8997458e-06
3,25,6.6186801e-06
3,26,6.3494943e-06
3,27,6.0916056e-06
3,28,5.8444794e-06
3,29,5.6076277e-06
3,30,5.3805565e-06
3,31,5.1628473e-06
3,32,4.9540810e-06
3,33,4.7538709e-06
3,34,4.5618416e-06
3,35,4.3776443e-06
3,36,4.2009531e-06
3,37,4.0314323e-06
3,38,3.8688047e-06
3,39,3.7127672e-06
3,40,3.5630697e-06
3,41,3.4194156e-06
3,42,3.2815696e-06
3,43,3.1493033e-06
3,44,3.0223912e-06
3,45,2.9005996e-06
3,46,2.7837092e-06
3,47,2.6715389e-06
3,48,2.5639063e-06
3,49,2.4606074e-06
3,50,2.3614699e-06
3,51,2.2663397e-06
3,52,2.1750300e-06
3,53,2.0874076e-06
3,54,2.0033127e-06
3,55,1.9226081e-06
3,56,1.8451536e-06
3,57,1.7708152e-06
3,58,1.6994793e-06
3,59,1.6310161e-06
3,60,1.5653105e-06
3,61,1.5022490e-06
3,62,1.4417271e-06
3,63,1.3836347e-06
3,64,1.3278979e-06
3,65,1.2743990e-06
3,66,1.2230534e-06
3,67,1.1737826e-06
3,68,1.1264835e-06
3,69,1.0810990e-06
3,70,1.0375469e-06
3,71,9.9574255e-07
3,72,9.5563000e-07
3,73,9.1712064e-07
3,74,8.8017526e-07
3,75,8.4471030e-07
3,76,8.1067227e-07
3,77,7.7801113e-07
3,78,7.4665889e-07
3,79,7.1657164e-07
3,80,6.8770181e-07
3,81,6.5999291e-07
3,82,6.3339955e-07
3,83,6.0786841e-07
3,84,5.8338511e-07
3,85,5.5987440e-07
3,86,5.3731423e-07
3,87,5.1566783e-07
3,88,4.9489730e-07
3,89,4.7494700e-07
3,90,4.5580826e-07
3,91,4.3744176e-07
3,92,4.1981329e-07
3,93,4.0288663e-07
3,94,3.8665455e-07
3,95,3.7108042e-07
3,96,3.5613263e-07
3,97,3.4177748e-07
3,98,3.2800486e-07
3,99,3.1478960e-07
3,100,3.0209835e-07
3,101,2.8992947e-07
3,102,2.7825222e-07
3,103,2.6703046e-07
3,104,2.5628046e-07
3,105,2.4594691e-07
3,106,2.3603237e-07
3,107,2.2652432e-07
3,108,2.1739759e-07
3,109,2.0863347e-07
3,110,2.0023332e-07
3,111,1.9216579e-07
3,112,1.8441032e-07
3,113,1.7697749e-07
3,114,1.6985002e-07
3,115,1.6300824e-07
3,116,1.5643851e-07
3,117,1.5013394e-07
3,118,1.4408629e-07
3,119,1.3827670e-07
3,120,1.3270572e-07
3,121,1.2735644e-07
3,122,1.2222781e-07
3,123,1.1729836e-07
3,124,1.1257748e-07
3,125,1.0803912e-07
3,126,1.0367852e-07
3,127,9.9509563e-08
4,0,2.3763899e+04
4,1,9.4365905e+02
4,2,7.7973407e+01
4,3,6.9301157e+00
4,4,6.4024544e-01
4,5,6.0364164e-02
4,6,5.7586139e-03
4,7,5.5368026e-04
4,8,5.3674163e-05
4,9,6.1305430e-06
4,10,2.7054303e-06
4,11,2.2365893e-06
4,12,1.9003872e-06
4,13,1.6199237e-06
4,14,1.3826035e-06
4,15,1.1807833e-06
4,16,1.0087608e-06
4,17,8.6194912e-07
4,18,7.3656436e-07
4,19,6.2942043e-07
4,20,5.3788966e-07
4,21,4.5964493e-07
4,22,3.9278444e-07
4,23,3.3564125e-07
4,24,2.8680639e-07
4,25,2.4507861e-07
4,26,2.0941785e-07
4,27,1.7893028e-07
4,28,1.5289624e-07
4,29,1.3064075e-07
4,30,1.1161455e-07
4,31,9.5374217e-08
5,0,1.0785676e+05
5,1,4.3735225e+03
5,2,3.7591892e+02
5,3,3.5215810e+01
5,4,3.4581760e+00
5,5,3.4876067e-01
5,6,3.5781541e-02
5,7,3.7186534e-03
5,8,3.9085394e-04
5,9,4.1568020e-05
5,10,4.5424957e-06
5,11,6.8710487e-07
5,12,2.7250665e-07
5,13,1.5215320e-07
5,14,8.7037330e-08
6,0,5.4385625e+05
6,1,2.2279451e+04
6,2,1.9698926e+03
6,3,1.9339733e+02
6,4,2.0224307e+01
6,5,2.2019391e+00
6,6,2.4672657e-01
6,7,2.8272153e-02
6,8,3.3008208e-03
6,9,3.9177294e-04
6,10,4.7208797e-05
6,11,5.7751041e-06
6,12,7.2791543e-07
6,13,9.7905020e-08
7,0,3.2136111e+06
7,1,1.3253759e+05
7,2,1.1966812e+04
7,3,1.2254069e+03
7,4,1.3667359e+02
7,5,1.6179993e+01
7,6,1.9986248e+00
7,7,2.5442073e-01
7,8,3.3076361e-02
7,9,4.3637782e-03
7,10,5.8168735e-04
7,11,7.8109858e-05
7,12,1.0544208e-05
7,13,1.4301285e-06
7,14,2.0177121e-07
7,15,5.1501292e-08
